Year,Alagnak,Egegik,Igushik,Kvichak,Naknek,Nushagak,Togiak,Ugashik,Wood
1956,0,0,0,9443,1772,0,0,425,773
1957,124,394,0,2840,635,0,0,215,289
1958,93,743,107,535,275,0,0,280,961
1959,824,1072,644,673,2231,61.06,0,219,2209
1960,1244,1798,495,14629,828,181.9,0,2304,1014
1961,88,702,294,3707,350,99.81,95,349,460
1962,91,1027,16,2583,722,46.36,47,255,870
1963,203,998,92,339,905,212.3,102,388,721
1964,249,850,129,956,1353,121.86,96,473,1076
1965,174,1445,181,24326,718,231.23,88,997,675
1966,174,804,207,3775,1016,211.13,91,703,1208
1967,202,637,281,3212,753,66.91,69,237,515
1968,194,339,194,2557,1023,128.7,43,71,649
1969,184,1016,512,8401,1364,86.62,111,329,602
1970,177,920,371,13916,733,409.45,192,735,1162
1971,187,634,211,2387,936,282.67,191,530,851
1972,151,544,59,1008,586,36.02,74.08,96,430
1973,35,328,58,227,357,190.41,96,43,332
1974,215,1276,359,4434,1241,184.98,83,62,1709
1975,100,1174,241,13141,2025,752.01,160.97,442,1268
1976,82,509,187,1963,1320,470.01,158.16,338,818
1977,108.96,693,96,1341,1085.87,563,134,201,562
1978,583.8,896,536,4149,813.38,664,276,70,2267
1979,791.52,925,860,11218,925.36,498.99,171,1701,1705
1980,803.7,1061,1988,22505,2645,3317.01,462,3321,2969
1981,221.92,695,591,1755,1796,1012.01,208,1327,1233
1982,645.63,1035,424,1135,1156,601.03,245,1157,976
1983,259.82,792,180,3569,888,403.98,192,1000,1361
1984,580.8,1165,185,10490,1243,473,95,1241,1003
1985,318.89,1095,212,7211,1850,497.99,137,1006,939
1986,620.09,1151,308,1179,1978,990,168,1001,819
1987,415.86,1273,169,6066,1062,388,250,669,1337
1988,524.81,1613,170,4065,1040,483,277,643,868
1989,530.65,1611,462,8317,1162,513,84,1681,1186
1990,455.88,2191,366,6970,2093,680,142,730,1069
1991,748.71,2787,756,4228,3578,495,255,2457,1160
1992,611.79,1945,303,4727,1607,698,182,2174,1285
1993,939.66,1517,406,4025,1535,715,177,1390,1176
1994,654.76,1898,446,8338,991,508,155,1081,1472
1995,581.79,1266,473,10039,1111,281,185,1304,1482
1996,826.75,1076,401,1451,1078,504,157,668,1650
1997,588.81,1104,128,1504,1026,376,132,618,1512
1998,680.63,1111,216,2296,1202,461,154,891,1757
1999,680.63,1727,435,6196,1628,276,156,1648,1510
2000,1214.7,1032.13,413.28,1827.77,1375.47,403.52,311.97,620.05,1300.02
2001,614.36,968.86,409.57,1095.36,1830.36,811.1,296.7,833.63,1458.74
2002,766.96,1036.07,123.15,703.87,1263.92,315.71,162.39,892.11,1283.69
2003,3676.15,1152,194.1,1686.82,1831.15,580.56,232.29,758.5,1459.79
2004,5396.58,1290.15,109.64,5500.13,1939.36,490,129.45,776.36,1543.34
2005,4219.03,1621.6,365.7,2320.44,2744.61,1048,149.21,779.18,1496.55
2006,1773.97,1465.17,305.27,3068.21,1953.23,548.41,312.12,978.7,4008.1
2007,2466.43,1432.51,415.46,2810.21,2945.32,518.08,269.64,2473.76,1528.1
2008,2180,1262,1055,2756,2475,492,206,570,1725
2009,970.81,1146.26,514.18,2266.14,1169.48,484.17,313.94,1346.11,1319.24
2010,1187.74,926.9,518.01,4207.39,1463.93,468.71,188.28,805.68,1804.33
2011,883.82,961.21,421.36,2264.35,1177.08,428.21,190.96,1003.73,1097.98
2012,861.748,1233.9,193.326,4164.444,900.312,432.438,203.148,670.578,764.211
2013,,1113.63,387.036,2088.576,938.16,894.148,128.118,898.11,1183.348
2014,,1382.466,340.59,4458.54,1474.428,618.477,151.934,640.158,2764.614
2015,,2160.792,651.172,7341.612,1920.954,796.684,218.7,1564.638,1941.474
2016,,1837.26,408.636,4462.728,1691.91,670.513,194.598,1635.27,1380.001
2017,,2600.982,578.7,3163.404,1899.972,2852.305748,195.33,1186.446,4274.224
2018,1581.426,1608.354,770.772,4430.304,2221.152,1247.46,511.77,1167.792,7507.254
2019,820.458,2299.266,256.074,2371.242,2911.47,709.3450194,351.846,1547.748,2073.276
2020,2386.518,2389.728,323.814,4030.968,4112.16,1228.059,261.126,1745.94,2243.886
2021,3236.904,1832.196,878.952,4703.52,2796.534,4697.299,280.836,2859.93,4410.156
