year,Alagnak,Egegik,Igushik,Kvichak,Naknek,Nushagak,Togiak,Ugashik,Wood
1956,1282.00,2324.00,903.00,13800.00,3155.00,,331.00,779.00,1494.00
1957,474.00,2044.00,440.00,10711.00,2588.00,,108.07,940.00,945.00
1958,206.93,812.80,276.00,1180.71,603.78,,118.00,776.70,1744.00
1959,1295.00,1827.16,995.00,1004.12,3403.47,,310.00,678.06,3668.00
1960,2289.00,3600.00,1177.00,24942.00,2095.00,,338.00,3377.00,2124.47
1961,509.00,4600.00,632.00,14263.00,1864.82,,421.52,960.00,957.14
1962,150.00,1878.43,107.02,4961.33,1277.93,,174.19,559.41,2438.32
1963,378.14,1991.86,136.35,615.34,1796.53,452.40,352.00,679.65,1598.00
1964,759.38,2012.60,191.05,2181.69,1943.40,266.35,367.06,1305.82,2413.80
1965,397.86,5170.95,297.25,48627.30,1222.07,582.19,391.00,2884.25,1302.51
1966,394.08,2903.85,310.08,8915.53,2884.79,411.58,338.00,1373.74,2500.62
1967,344.31,1725.06,412.37,5545.42,1555.05,139.63,171.11,440.09,1150.41
1968,314.03,1011.98,290.69,3975.96,1822.08,218.46,135.09,149.36,1547.96
1969,324.29,2016.72,759.99,14054.75,2641.10,184.39,306.03,301.89,1351.29
1970,500.78,1945.37,522.01,34839.68,2689.52,865.76,425.00,1052.93,2238.54
1971,537.29,1996.10,335.23,6978.11,3658.03,674.29,484.00,1774.60,2063.66
1972,302.59,1774.53,127.96,2132.29,1468.38,87.17,175.00,131.75,998.55
1973,63.55,787.54,113.97,410.49,684.26,417.13,270.00,63.41,735.06
1974,247.58,1504.24,430.60,5061.35,1474.64,252.19,238.00,66.75,2244.58
1975,112.66,2238.67,357.44,16219.63,3211.15,1053.80,407.39,525.56,1773.85
1976,157.45,1704.90,308.00,3545.33,3200.60,1083.59,546.00,618.70,1711.91
1977,234.92,2998.17,170.04,1675.47,2912.82,1096.78,401.00,429.70,812.89
1978,1110.70,2078.29,845.21,7919.09,2256.81,1431.83,770.00,97.12,4706.52
1979,1620.19,2579.85,1392.47,24927.04,2826.61,1048.80,614.00,2286.73,4185.63
1980,855.66,3449.72,2393.48,37931.68,5080.05,5389.94,1173.00,4642.57,6143.34
1981,667.23,4641.79,1338.13,6901.35,8756.83,3875.79,999.00,4078.24,6009.03
1982,1345.58,3785.03,716.74,2811.88,4660.81,4067.18,972.23,2682.65,4093.67
1983,2664.58,8446.31,1187.36,21496.87,3308.26,2159.92,784.00,4148.45,4106.63
1984,1193.25,5458.43,299.79,23930.92,3876.35,1340.82,383.00,4166.99,2349.71
1985,843.58,8331.67,643.15,14093.50,4237.31,995.64,306.20,7940.80,1527.76
1986,1020.94,5506.50,609.14,2012.45,3991.32,2379.34,405.22,6727.27,2106.06
1987,780.74,6385.23,471.44,10318.11,2319.01,1380.20,574.00,2910.01,3517.78
1988,851.13,8117.56,293.25,6860.05,1962.97,1090.08,1001.00,2155.14,2000.00
1989,1379.37,9807.46,906.59,20484.41,3669.83,1190.74,178.12,5363.34,3099.74
1990,1591.43,12605.43,876.17,18192.99,8300.33,1804.53,342.00,2712.62,3195.12
1991,1684.65,9235.47,1645.84,8613.13,9754.42,1628.97,805.00,5959.04,4506.27
1992,1461.64,17890.99,470.35,10628.64,5222.91,1888.87,863.25,6341.24,3071.69
